Date;EC;FS;GP;KZN;LP;MP;NW;NC;WC;Unkown Province;Confirmed New;Confirmed Total;Deaths New;Deaths Total;Recovered;"Ag
tests"
2020-03-04;;;;;;;;;;;0;0;;;;181
2020-03-05;;;;1;;;;;;;1;1;;;;
2020-03-06;;;;;;;;;;;0;1;;;;
2020-03-07;;;1;;;;;;;;1;2;;;;
2020-03-08;;;;1;;;;;;;1;3;;;;
2020-03-09;;;;4;;;;;;;4;7;;;;
2020-03-10;?;?;4;1;?;?;?;?;1;?;3;10;;;;
2020-03-11;;;4;1;;;;;1;;3;13;;;;645
2020-03-12;;0;1;1;;1;;;;;3;16;;;;848
2020-03-13;;;4;2;;;;;2;;8;24;;;;924
2020-03-14;;;7;1;;;;;6;;14;38;;;;1017
2020-03-15;;;7;1;;;;;5;;13;51;;;;1476
2020-03-16;;;7;;1;1;;;2;;11;62;;;;2405
2020-03-17;;;14;4;;;;;5;;23;85;;;;2911
2020-03-18;;;16;3;;2;;;10;;31;116;;;;3070
2020-03-19;;;15;3;;1;;;15;;34;150;;;;4832
2020-03-20;;7;33;1;;;;;11;;52;202;;;;6438
2020-03-21;1;;16;3;;;;;18;;38;240;;;;7425
2020-03-22;1;2;7;9;;1;;;14;;34;274;;;;9315
2020-03-23;?;?;?;?;?;?;?;?;?;?;128;402;;;;12815
2020-03-24;?;?;?;?;?;?;?;?;?;?;152;554;;;;15529
2020-03-25;?;?;?;?;?;?;?;?;?;?;155;709;;;;
2020-03-26;?;?;?;?;?;?;?;?;?;?;218;927;;;;20471
2020-03-27;?;12;?;?;?;?;?;?;?;?;243;1170;1;1;31;28537
2020-03-28;?;?;?;?;?;?;?;?;?;?;17;1187;0;1;;31963
2020-03-29;2;4;51;11;1;1;;1;39;-17;93;1280;1;2;;35593
2020-03-30;;;34;4;-1;;2;-3;14;-4;46;1326;1;3;;38409
2020-03-31;;2;22;7;3;3;;;9;;27;1353;2;5;;41072
2020-04-01;?;?;?;?;?;?;?;?;?;?;27;1380;0;5;;44292
2020-04-02;2;8;18;20;2;1;;;27;4;82;1462;0;5;45;47965
2020-04-03;?;?;?;?;?;?;?;?;?;?;43;1505;2;7;45;50361
2020-04-04;?;?;?;?;?;?;?;?;?;?;80;1585;2;9;45;53937
2020-04-05;6;2;11;14;1;;;1;21;14;70;1655;2;11;45;56873
2020-04-06;1;2;9;11;;;;;8;;31;1686;1;12;45;58098
2020-04-07;?;?;?;?;?;?;?;?;?;?;63;1749;1;13;45;58098
2020-04-08;32;89;713;257;19;18;11;8;462;77;96;1845;5;18;45;63776
